name,position,team,game,salary,value,ceilingValue,consensus,p90,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,uncertainty,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
sam darnold,QB,SEA,ARI@SEA,7500,2.27,3.087,14.95,23.15,17,13.62,7.43,18.24,14.12,13.83,0.341,25.75,18.75,+4000,2.44,3912547,: 
tua tagovailoa,QB,MIA,BUF@MIA,6700,2.01,3.066,12.79,20.54,13.5,12.65,7.58,17.75,11.72,13.64,0.37,27.00,25.50,0,0,4241479,: 
jacoby brissett,QB,ARI,ARI@SEA,6900,2.17,3.001,14.09,20.71,15,13.77,8.48,19.09,12.96,14.86,0.301,18.75,25.75,+3000,3.23,2578570,: 
mac jones,QB,SF,LAR@SF,7000,2.24,2.904,13.69,20.33,15.7,12.62,7.55,17.71,12.26,13.6,0.309,22.00,27.50,+5000,1.96,4241464,: 
aaron rodgers,QB,PIT,PIT@LAC,6900,2.1,2.877,12.71,19.85,14.5,11.06,6.18,15.46,12.76,10.71,0.348,21.25,24.25,+8000,1.23,8439,: 
bryce young,QB,CAR,NO@CAR,6600,2.09,2.818,13.12,18.6,13.8,13.83,8.53,19.14,11.18,14.92,0.272,22.00,15.50,0,0,4685720,: 
dillon gabriel,QB,CLE,CLE@NYJ,6500,1.92,2.794,10.85,18.16,12.5,9.12,5.26,13.4,10.89,9.21,0.402,23.00,27.50,0,0,4427238,: 
davis mills,QB,HOU,JAC@HOU,6500,1.97,2.785,12.32,18.1,12.8,11.14,6.28,16.23,13.09,10.99,0.3,14.00,23.50,0,0,4242546,: 
trevor lawrence,QB,JAC,JAC@HOU,7200,1.96,2.775,13.04,19.98,14.1,13.74,7.47,18.31,11.22,13.88,0.333,,,0,0,4360310,: 
tyler shough,QB,NO,NO@CAR,6400,1.92,2.522,10.73,16.14,12.3,9.4,5.08,12.54,10.49,9.42,0.319,15.50,22.00,0,0,4360689,: 
brock purdy,QB,SF,LAR@SF,7000,0.39,0.627,2.77,4.39,2.7,,,11.299,,2.92,0.36,22.00,27.50,0,0,4361741,Q: Toe
tyler huntley,QB,BAL,BAL@MIN,6000,0.18,0.29,1.1,1.74,1.1,,,,,,0.36,23.00,25.50,0,0,4035671,: 
max brosmer,QB,MIN,BAL@MIN,6000,0.12,0.185,0.7,1.11,0.7,,,,,,0.36,25.50,23.00,0,0,4573398,: 
spencer rattler,QB,NO,NO@CAR,6000,0.12,0.177,0.7,1.06,0.7,,,,,,0.321,15.50,22.00,0,0,4426339,: 
russell wilson,QB,NYG,NYG@CHI,6000,0.1,0.158,0.6,0.95,0.6,,,,,,0.36,21.00,24.50,0,0,14881,: 
mitchell trubisky,QB,BUF,BUF@MIA,6000,0.08,0.142,0.5,0.85,0.5,,,,,,0.413,25.50,27.00,0,0,3039707,: 
zach wilson,QB,MIA,BUF@MIA,6200,0.08,0.137,0.5,0.85,0.5,,,,,,0.413,27.00,25.50,0,0,4361259,: 
jalen milroe,QB,SEA,ARI@SEA,6300,0.08,0.125,0.5,0.79,0.5,,,,,,0.36,25.75,18.75,0,0,4432734,: 
tyrod taylor,QB,NYJ,CLE@NYJ,6800,0.07,0.125,0.5,0.85,0.5,,,,,,0.413,27.50,23.00,0,0,14163,: 
shedeur sanders,QB,CLE,CLE@NYJ,6000,0.07,0.113,0.4,0.68,0.4,,,,,,0.413,23.00,27.50,0,0,4432762,: 
tyson bagent,QB,CHI,NYG@CHI,6000,0.07,0.105,0.4,0.63,0.4,,,,,,0.36,24.50,21.00,0,0,4434153,: 
trey lance,QB,LAC,PIT@LAC,6000,0.07,0.105,0.4,0.63,0.4,,,,,,0.36,24.25,21.25,0,0,4383351,: 
andy dalton,QB,CAR,NO@CAR,6000,0.07,0.1,0.4,0.6,0.4,,,,,,0.321,22.00,15.50,0,0,14012,: 
